Name,Team,Position,Height(inches),Weight(pounds),Age
Matt_Thornton,CWS,Relief_Pitcher,78,228,30.46
Bobby_Jenks,CWS,Relief_Pitcher,75,270,25.96
Boone_Logan,CWS,Relief_Pitcher,77,200,22.55
Sean_Tracey,CWS,Relief_Pitcher,75,210,26.29
Nick_Masset,CWS,Relief_Pitcher,76,190,24.79
Jose_Molina,ANA,Catcher,74,220,31.74
Jeff_Mathis,ANA,Catcher,72,180,23.92
Mike_Napoli,ANA,Catcher,72,205,25.33
Casey_Kotchman,ANA,First_Baseman,75,210,24.02
Kendry_Morales,ANA,First_Baseman,73,220,23.7
Shea_Hillenbrand,ANA,First_Baseman,73,211,31.59
Robb_Quinlan,ANA,First_Baseman,73,200,29.95
Howie_Kendrick,ANA,First_Baseman,70,180,23.64
Orlando_Cabrera,ANA,Shortstop,70,190,32.33
Erick_Aybar,ANA,Shortstop,70,170,23.13
Dallas_McPherson,ANA,Third_Baseman,76,230,26.6
Maicer_Izturis,ANA,Third_Baseman,68,155,26.46
Reggie_Willits,ANA,Outfielder,71,185,25.75
Tommy_Murphy,ANA,Outfielder,72,185,27.51
Terry_Evans,ANA,Outfielder,75,200,25.11
Gary_Matthews_Jr.,ANA,Outfielder,75,225,32.51
Garret_Anderson,ANA,Outfielder,75,225,34.67
Vladimir_Guerrero,ANA,Outfielder,75,220,31.06
Chone_Figgins,ANA,Outfielder,68,160,29.1
Juan_Rivera,ANA,Outfielder,74,205,28.66
John_Lackey,ANA,Starting_Pitcher,78,235,28.35
Bartolo_Colon,ANA,Starting_Pitcher,71,250,33.77
Kelvim_Escobar,ANA,Starting_Pitcher,73,210,30.89
Dustin_Moseley,ANA,Starting_Pitcher,76,190,37.74
Ervin_Santana,ANA,Starting_Pitcher,74,160,24.14
Joe_Saunders,ANA,Starting_Pitcher,74,200,25.71
Jered_Weaver,ANA,Starting_Pitcher,79,205,24.41
Chris_Resop,ANA,Relief_Pitcher,75,222,24.32
Phil_Seibel,ANA,Relief_Pitcher,73,195,28.09
Justin_Speier,ANA,Relief_Pitcher,76,205,33.31
Darren_Oliver,ANA,Relief_Pitcher,74,220,36.4
Hector_Carrasco,ANA,Relief_Pitcher,74,220,37.36
Scot_Shields,ANA,Relief_Pitcher,73,170,31.61
Francisco_Rodriguez,ANA,Relief_Pitcher,72,185,25.14
Greg_Jones,ANA,Relief_Pitcher,74,195,30.29
Doug_Mirabelli,BOS,Catcher,73,220,36.37
Jason_Varitek,BOS,Catcher,74,230,34.89
